,,,
"非アクティブメンバーについて

非アクティブメンバーについて",非アクティブの定義（新基準）,"「日報の最終提出日から30日以上経過している」場合のみ
→ 非アクティブ判定",・日報ゼロ & 課題ゼロ → 従来どおり「非アクティブ」と判断
・課題は出しているが日報ゼロ or 止まっている → 「行動はしているが報告フローが守られていない」→ 特待生条件として週報必須をリマインド
,非アクティブ判定の整理（シビア基準）,30日以上、課題・案件・日報すべて停滞 → 非アクティブ確定,
,特待生に対する日報ルール,特待生条件：原則として最低でも週1回以上の報告（日報 or 週報）,
,リマインドスケジュール,,"① 最後の日報提出から2週間 → 確認DM
② 3週間目 → 2通目の確認DM
③ 30日目 → テンプレ1通目"
,,,
チェックフロー（オペレーション）,STEP1,"「日報の最終提出日」を確認する。
★1ヶ月以上提出なし → 非アクティブ候補として抽出",【図解デザイナー講座】添削提出シートで課題提出も確認
,STEP2-1（課題のみある場合）,課題は出しているが日報ゼロ or 止まっている場合。,最低でも週報出さないと特待生条件を満たせなくなるとリマインド。「特待生枠の合意として、最低でも週1回の報告が必要」「今週分からでOKなので、まず1本出してもらう」
,STEP2-2（日報0 & 課題0）,日報ゼロかつ課題ゼロの場合。,下記の非アクティブリマインドをDM。返信ない場合は「おまめ」まで報告。
,,,
"課題のみある場合のDMテンプレ",,"この講座はご入会時にもお伝えしている通り、「講座の理念に共感すること」と「日報を通じて行動と変化を見える形にすること」を前提に運営しています。

在宅ワークで稼げるようになるために、スキル・行動量・継続をセットで育てていくことを重視しており、そのための仕組みが「日報」です。

今後は、どれだけ短くても週報でも構いませんので、日報でも動きを見える形にしてくださいね！",
,,,
運営ルール（迷わない基準）,無反応×30日以上,即非アクティブ扱い,
,"「やりたいけどできない」＝時間管理不全",シビアに「小さな行動期限」を切る。Zoomヒアリングしてもよい。,
,家庭・体調都合,「休会」または「やれる最小行動（日報1行）」で継続かを本人に選ばせる。,
,,,
"非アクティブな講座生への
リマインドテンプレート",①1回目（非アクティブ30日経過）,"こんにちは、運営の【○○】です。

最近30日ほど日報の提出がなかったので、ご連絡しました。
この講座は「在宅ワークで稼げる自分になる」ことをゴールにしています。
そのため「行動がゼロ」の状態はサポート対象から外れてしまう可能性があります。

◯月◯日までに「日報」の提出をお願いします。
継続されたい場合は、この期限を必ず守ってくださいね。

できそうですか？ご返信お願いいたします！",
,②2回目（非アクティブ60日くらい）,"こんにちは、運営の【○○】です。

前回お伝えした期限までに行動が見られなかったため、再度ご連絡します。
この講座は"学ぶ場所"ではなく、"稼ぐ力を身につける場所"です。

もし「在宅で稼ぐ自分になる」意思があるなら、
◯月◯日までに最低1つの行動（日報 or 課題）を必ずお願いします。

これ以上停滞が続く場合、非アクティブメンバーとしてリスト入りし、
サポートや案件応募の対象から外れる可能性があります。",
,③3回目（最終通知・休会勧告 非アクティブ90日ごろ）,"こんにちは、運営の【○○】です。

ここまで数回ご連絡しましたが、行動やご返信が見られていません。
現状のままでは「在宅で稼げる自分になる」というゴールに到達できないため、
講座のサポート対象から外れる判断となります。

続けたいお気持ちがあれば、◯月◯日までに行動（日報1つなど）をお願いします。
それがない場合は、サポート対象外として扱わせていただきます。

ご自身の意思を、最後に一度お聞かせください。",
